"","participant","cue","phase","condition","target","response","rt","correct","Column1","Column2","pred_correct"
"267",1010,"LAUNDRY","test","error","SOAP","SOAP",2285,1,NA,"",0.895719214519998
"268",1010,"DANCER","test","error","MUSIC","MUSIC",2286,1,NA,"",0.895719214519998
"269",1010,"CRUNCH","test","error","NOISE","NOISE",2381,1,NA,"",0.895719214519998
"270",1010,"INTRODUCE","test","error","PRESENT","PRESENT",7901,1,NA,"",0.895719214519998
"271",1010,"STERN","test","error","BOAT","BOAT",1934,1,NA,"",0.895719214519998
"272",1010,"HONEYMOON","test","error","ROMANCE","ROMANCE",1917,1,NA,"",0.895719214519998
"273",1011,"ORDER","test","error","FORM","ALIGN",4223,0,NA,"",0.543878324453448
"274",1011,"EMPIRE","test","error","STATE","STATE",1566,1,NA,"",0.543878324453448
"275",1011,"DANCER","test","error","MUSIC","MUSIC",6750,1,NA,"",0.543878324453448
"276",1011,"PRESCRIPTION","test","error","PILL"," PILL",2188,1,NA,"change 2>1 bc space infront of correct",0.543878324453448
"277",1011,"MEASUREMENT","test","error","HEIGHT","HEIGHT",8543,1,NA,"",0.543878324453448
"278",1011,"DRACULA","test","error","SCARY","SCARY",2270,1,NA,"",0.543878324453448
"279",1011,"CANYON","test","error","MOUNTAIN","ROCK",5471,0,NA,"",0.543878324453448
"280",1011,"SWING","test","error","TREE","SET",5550,0,NA,"",0.543878324453448
"281",1011,"LATIN","test","error","FRENCH","ORIGIN",4590,0,NA,"",0.543878324453448
"282",1011,"GLIDE","test","error","HANG","FLY",4671,0,NA,"",0.543878324453448
"283",1011,"CHUNK","test","error","BLOCK","PIECE",3550,0,NA,"",0.543878324453448
"284",1011,"DIAMETER","test","error","LENGTH","MEASUREMENT",3150,0,NA,"",0.543878324453448
"285",1011,"PARCEL","test","error","BOX","BOX",1535,1,NA,"",0.543878324453448
"286",1011,"ELEVATOR","test","error","BUILDING","BUILDING",3726,1,NA,"",0.543878324453448
"287",1011,"HONEYMOON","test","error","ROMANCE","ROMANCE",2335,1,NA,"",0.543878324453448
"288",1011,"LAUNDRY","test","error","SOAP","DIRTY",4863,0,NA,"",0.543878324453448
"289",1011,"ROBIN","test","error","RED","RED",1486,1,NA,"",0.543878324453448
